Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,87.0,1.0,87.0,87.0,0.1,60.20799999999999,0.0,0.0,0.0051691532135009766,,,,,,,,,,,,,,,,,,,,,24.23805977857158,18.457903705611937,58.215661907417186,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,126.0,2.0,39.0,126.0,0.1,16.10900000000001,0.0,0.0,3.8474040031433105,,,,,,,,,,,,,,,,,,,,,4.262249624016102,5.255672162158595,15.974705701360396,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,178.0,3.0,52.0,178.0,0.1,30.009000000000025,0.0,0.0,8.925981044769287,,,,,,,,,,,,,,,,,,,,,9.655924397857572,10.091804182784745,29.565994354025104,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,212.0,4.0,34.0,212.0,0.1,16.306000000000008,0.0,0.0,12.336036205291748,,,,,,,,,,,,,,,,,,,,,4.947411354666804,5.46529137369892,16.170112067965196,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,248.0,5.0,36.0,248.0,0.1,17.80600000000002,0.0,0.0,15.908091068267822,,,,,,,,,,,,,,,,,,,,,5.500547179987252,5.944404760355608,17.643249156584478,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,272.0,6.0,24.0,272.0,0.1,10.505999999999995,0.0,0.0,18.472480058670044,,,,,,,,,,,,,,,,,,,,,3.117752860294187,3.6563561628875583,10.452067614514354,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,326.0,7.0,54.0,326.0,0.1,21.215000000000035,0.0,0.0,23.810283184051514,,,,,,,,,,,,,,,,,,,,,5.302381927937379,6.658381549685282,20.970591588476744,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,375.0,8.0,49.0,375.0,0.1,21.607000000000024,0.0,0.0,28.510165691375732,,,,,,,,,,,,,,,,,,,,,6.605727607312126,6.742647668281341,21.325949921134054,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,407.0,9.0,32.0,407.0,0.1,14.305999999999994,0.0,0.0,31.679148197174072,,,,,,,,,,,,,,,,,,,,,4.215247876087778,4.767713007312044,14.199496862192715,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,503.0,10.0,96.0,503.0,0.1,67.30699999999999,0.0,0.0,40.39794421195984,,,,,,,,,,,,,,,,,,,,,26.250933370758002,20.423690936906077,64.91667883740321,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
